source_macro,target_macro,raw_edges_broad,raw_edges_specialized,ipw_edges_broad,ipw_edges_specialized,rate_broad,rate_specialized,row_share_broad,row_share_specialized,row_share_difference,standardized_share_broad,standardized_share_specialized,standardized_share_difference,pooled_standardized_share,plot_edge,source_domain,citing_domain
9,24,3059,1622,7774.946109294891,3156.684222340584,0.0363464483107216,0.018315090182584,0.0053501447726894,0.0022926274711674,-0.0030575173015219,0.0002090006994837,8.956033256812043e-05,-0.0001194403669156,0.0001492805160259,False,Cell & neural biology,"Astronomy, optics & imaging"
9,25,7857,6869,22349.264845490456,14199.848902106283,0.1044787176747282,0.0823875607767661,0.0153791165630853,0.0103130251195216,-0.0050660914435637,0.0006007774099001,0.0004028731100466,-0.0001979042998534,0.0005018252599734,False,Cell & neural biology,Orthopaedics & sports medicine
9,26,397,391,1188.5317516326904,673.6938608884811,0.0055561681417605,0.0039087735574884,0.0008178599373918,0.0004892884253986,-0.0003285715119932,3.19492847870563e-05,1.9113804859941283e-05,-1.2835479927115017e-05,2.5531544823498792e-05,False,Cell & neural biology,"Climate, land & agriculture"
9,27,29622,49783,94377.76454269886,133812.54797422886,0.4411987546166743,0.7763807562265986,0.0649438203851458,0.0971849896487781,0.0322411692636323,0.0025369974952695,0.0037964824652221,0.0012594849699526,0.0031667399802458,True,Cell & neural biology,Oncology
9,28,987,439,2240.23950779438,875.8605200052261,0.0104727091775391,0.005081745046822,0.0015415676872499,0.0006361174408462,-0.0009054502464036,6.022056198954378e-05,2.484960608343408e-05,-3.53709559061097e-05,4.253508403648893e-05,False,Cell & neural biology,Education & language
9,29,1251,1504,3734.977761030197,2734.024835944176,0.0174603366022932,0.0158628193081073,0.0025701363666557,0.0019856596365828,-0.0005844767300728,0.0001004010772085,7.756878937200281e-05,-2.283228783653774e-05,8.898493329027169e-05,False,Cell & neural biology,Electronic & magnetic materials
9,30,43149,57261,124479.7445936203,134296.0700532198,0.5819199952003489,0.7791861526040111,0.0856577840516599,0.0975361606634033,0.0118783766117433,0.0033461780089411,0.0038102007832889,0.0004640227743478,0.003578189396115,True,Cell & neural biology,Drug discovery & pharmaceutics
9,31,10219,14525,30628.400743484497,30676.844691634175,0.1431821608554001,0.1779871337994684,0.0210762075813863,0.0222798898828817,0.0012036823014953,0.0008233313889859,0.0008703526292807,4.702124029482555e-05,0.0008468420091333,False,Cell & neural biology,Chronic & infectious disease
10,0,20576,31907,50924.2624502182,60499.7700291872,0.5840017227865083,0.6641988693907008,0.0921896571224119,0.0973368147520071,0.0051471576295951,0.0020151225133729,0.0021276313732931,0.0001125088599201,0.002071376943333,True,Social behavior & violence,"Business, economics & policy"
10,1,729,800,1789.9211057424543,1451.7489626407623,0.0205268954150762,0.0159380774366568,0.0032403456638351,0.0023356885451764,-0.0009046571186586,7.08289161942997e-05,5.105451867949471e-05,-1.9774397514804992e-05,6.09417174368972e-05,False,Social behavior & violence,Earth & environmental science
10,2,762,1548,2419.3090401887894,2648.804191470146,0.0277447444389481,0.029079990690263,0.0043797447455657,0.0042616056685022,-0.0001181390770634,9.573440790540596e-05,9.315207143371672e-05,-2.5823364716892253e-06,9.444323966956134e-05,False,Social behavior & violence,"Reproduction, metabolism & animal science"
10,3,98,139,192.68699073791504,287.3767582178116,0.0022097430406477,0.0031549759247902,0.0003488268018695,0.0004623544563092,0.0001135276544396,7.624811325439123e-06,1.0106349271154588e-05,2.481537945715464e-06,8.865580298296854e-06,False,Social behavior & violence,Electrical & control engineering
10,4,602,778,1426.2465955018995,1318.698094367981,0.0163562598418729,0.0144773737639718,0.0025819752370466,0.0021216257857409,-0.0004603494513056,5.643796269071127e-05,4.637543971035988e-05,-1.0062522980351394e-05,5.140670120053557e-05,False,Social behavior & violence,Plant & microbial biology
10,5,447,640,1601.5797064304352,1374.6983469724655,0.018366987811549,0.0150921745218515,0.0028993858111223,0.0022117234210079,-0.0006876623901144,6.33760641412173e-05,4.83448338798941e-05,-1.5031230261323205e-05,5.58604490105557e-05,False,Social behavior & violence,Energy & thermal engineering
10,6,442,703,1200.6998227834702,1238.292312502861,0.0137696793496122,0.0135946360381668,0.0021736614266639,0.0019922626048458,-0.000181398821818,4.751285788496514e-05,4.354776178682624e-05,-3.9650960981389e-06,4.553030983589569e-05,False,Social behavior & violence,Clinical diagnostics & case reports
10,7,65,56,178.66453194618225,97.04394519329072,0.002048932855128,0.0010654003915634,0.0003234415413705,0.0001561319739153,-0.0001673095674551,7.069929015033778e-06,3.4128021029133865e-06,-3.6571269121203912e-06,5.241365558973582e-06,False,Social behavior & violence,Electrochemical materials
10,8,13367,23927,36455.19042158127,42167.17580533028,0.4180697566611974,0.4629338339928819,0.0659958798339633,0.0678418872997143,0.0018460074657509,0.0014425672835152,0.0014829181354459,4.03508519307089e-05,0.0014627427094805,True,Social behavior & violence,Humanities & politics
10,9,240,279,725.5040009021759,557.99010014534,0.008320112379233,0.0061259140897385,0.0013134007615621,0.0008977386027268,-0.0004156621588353,2.870889779089693e-05,1.962316951756125e-05,-9.08572827333568e-06,2.416603365422909e-05,False,Social behavior & violence,Cell & neural biology
10,10,87146,166999,242405.2814291716,289522.2493636608,2.779914625284436,3.1785302753716858,0.4388332536276399,0.4658062921445733,0.0269730385169333,0.0095922123652934,0.0101818010335468,0.0005895886682534,0.0098870066994201,False,Social behavior & violence,Social behavior & violence
10,11,13231,25128,38427.71389067173,41727.81837952137,0.4406907441583018,0.4581103329227142,0.0695667958086253,0.0671350143257303,-0.002431781482895,0.0015206219525367,0.0014674669917012,-5.315496083555644e-05,0.001494044472119,True,Social behavior & violence,Mental health & cognition
10,12,9658,9813,22673.945820331573,19738.23957788944,0.2600258262824354,0.2166969627334479,0.0410472963222967,0.0317564408657566,-0.00929085545654,0.0008972300528498,0.0006941464035191,-0.0002030836493307,0.0007956882281844,False,Social behavior & violence,Computing & networks
10,13,307,375,761.9895685911179,771.4474420547485,0.008738530503757,0.0084693630828665,0.001379451634237,0.0012411656560341,-0.0001382859782028,3.015266713237837e-05,2.712995073816951e-05,-3.0227163942088604e-06,2.864130893527394e-05,False,Social behavior & violence,Marine ecology & paleoscience
10,14,394,658,982.9943350553511,1092.9918648004532,0.0112730230648484,0.0119994499235858,0.0017795429200494,0.0017584917532447,-2.105116680465712e-05,3.88980403402902e-05,3.843789457681798e-05,-4.601457634722143e-07,3.866796745855409e-05,False,Social behavior & violence,Immune & inflammatory disease
10,15,641,910,1955.269352793693,1531.207979440689,0.022423116518564,0.01681042106864,0.0035396803516245,0.002463528495558,-0.0010761518560665,7.737190688572946e-05,5.384890115322959e-05,-2.3523005732499875e-05,6.561040401947952e-05,False,Social behavior & violence,Cardiovascular medicine
10,16,16553,25099,44205.760363817215,44765.31460618973,0.5069536399234817,0.4914575928967328,0.0800269595413326,0.0720219784808419,-0.0080049810604906,0.0017492648620484,0.0015742884269728,-0.0001749764350755,0.0016617766445106,True,Social behavior & violence,Public health & care delivery
10,17,593,1228,1638.318056225777,2127.585627555847,0.0187883048525918,0.0233577742142284,0.0029658943025155,0.0034230280214045,0.0004571337188889,6.482983631610418e-05,7.482206838755866e-05,9.992232071454485e-06,6.982595235183142e-05,False,Social behavior & violence,Surgical specialties
