qwen_macro,publication_year,n,n_broad,n_specialized,journals,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,display_label,p_value,q_value_bh
2,2015,8331,4207,4124,1516,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2016,8193,3956,4237,1509,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2017,8476,4195,4281,1584,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2018,9106,4158,4948,1684,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2019,9912,4314,5598,1723,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
2,2020,10325,4748,5577,1754,not_estimable,,,,,,,,,"Reproduction, metabolism & animal science",,
3,2015,10901,5072,5829,1222,estimated,0.2407641620595512,0.13685475228269067,-0.027471152414522526,0.508999476533625,-0.043675447871371675,0.5337708642154111,0.884256045136819,1.1249690763574407,Electrical & control engineering,0.07853202925855159,0.3340754404850337
3,2016,11434,5050,6384,1270,estimated,-0.08085323782107945,0.13992338955630523,-0.3551030813514377,0.1933966057092788,-0.33339801212096204,0.23731156476819,0.9313860898437796,0.8590444423362558,Electrical & control engineering,0.5633725984967659,0.8597150854953639
3,2017,12415,6022,6393,1379,estimated,-0.16555763825958647,0.16502553530904343,-0.4890076874653116,0.15789241094613865,-0.47724903418908504,0.17927059450676242,1.0874066401673812,0.9214912419086629,Electrical & control engineering,0.31575261850291614,0.6997760734388951
3,2018,12880,5940,6940,1413,estimated,-0.17719461298205685,0.16438900665789427,-0.4993970660315296,0.1450078400674159,-0.48239582726601543,0.2015878271159579,1.1380362099006207,0.9532382001284251,Electrical & control engineering,0.28107919259709735,0.6778968762635876
